Time (matlab datenum format),Cloud Amount (okta)
732665.2917,1
732665.3333,8
732665.375,2
732665.4167,5
732665.4583,2
732665.5,8
732665.5417,2
732665.5833,3
732665.625,1
732665.6667,5
732665.7083,2
732665.75,2
732665.7917,3
732665.8333,4
732665.875,2
732665.9167,3
732665.9583,9
732666,1
732666.0417,8
732666.0833,3
732666.125,5
732666.1667,3
732666.2083,7
732666.25,4
732666.2917,0
732666.3333,7
732666.375,0
732666.4167,2
732666.4583,8
732666.5,8
732666.5417,7
732666.5833,8
732666.625,4
732666.6667,9
732666.7083,9
732666.75,1
732666.7917,7
732666.8333,4
732666.875,0
732666.9167,3
732666.9583,6
732667,7
732667.0417,9
732667.0833,1
732667.125,9
732667.1667,4
732667.2083,7
732667.25,6
732667.2917,1
732667.3333,8
732667.375,3
732667.4167,3
732667.4583,2
732667.5,8
732667.5417,7
732667.5833,2
732667.625,3
732667.6667,5
732667.7083,6
732667.75,1
732667.7917,8
732667.8333,9
732667.875,4
732667.9167,6
732667.9583,6
732668,8
732668.0417,3
732668.0833,8
732668.125,3
732668.1667,7
732668.2083,4
732668.25,6
732668.2917,8
732668.3333,7
732668.375,2
732668.4167,4
732668.4583,0
732668.5,6
732668.5417,7
732668.5833,5
732668.625,2
732668.6667,0
732668.7083,3
732668.75,3
732668.7917,8
732668.8333,3
732668.875,7
732668.9167,5
732668.9583,6
732669,6
732669.0417,1
732669.0833,3
732669.125,2
732669.1667,8
732669.2083,6
732669.25,5
732669.2917,5
732669.3333,9
732669.375,9
732669.4167,2
732669.4583,3
732669.5,6
732669.5417,7
732669.5833,6
732669.625,8
732669.6667,0
732669.7083,6
732669.75,7
732669.7917,1
732669.8333,7
732669.875,1
732669.9167,1
732669.9583,2
732670,6
732670.0417,6
732670.0833,1
732670.125,2
732670.1667,3
732670.2083,3
732670.25,4
732670.2917,4
732670.3333,4
732670.375,4
732670.4167,9
732670.4583,1
732670.5,8
732670.5417,1
732670.5833,3
732670.625,1
732670.6667,7
732670.7083,6
732670.75,0
732670.7917,7
732670.8333,4
732670.875,7
732670.9167,4
732670.9583,2
732671,0
732671.0417,6
732671.0833,0
732671.125,7
732671.1667,7
732671.2083,1
732671.25,2
732671.2917,6
732671.3333,8
732671.375,2
732671.4167,2
732671.4583,7
732671.5,7
732671.5417,2
732671.5833,8
732671.625,3
732671.6667,8
732671.7083,1
732671.75,2
732671.7917,5
732671.8333,5
732671.875,2
732671.9167,4
732671.9583,0
732672,3
732672.0417,7
732672.0833,8
732672.125,4
732672.1667,3
732672.2083,5
732672.25,7
732672.2917,4
732672.3333,1
732672.375,8
732672.4167,6
732672.4583,2
732672.5,1
732672.5417,6
732672.5833,6
732672.625,7
732672.6667,3
732672.7083,3
732672.75,3
732672.7917,4
732672.8333,3
732672.875,6
732672.9167,5
732672.9583,5
732673,3
732673.0417,5
732673.0833,9
732673.125,2
732673.1667,7
732673.2083,3
732673.25,6
732673.2917,2
732673.3333,4
732673.375,7
732673.4167,5
732673.4583,0
732673.5,7
732673.5417,4
732673.5833,1
732673.625,3
732673.6667,1
732673.7083,7
732673.75,4
732673.7917,2
732673.8333,1
732673.875,1
732673.9167,1
732673.9583,7
732674,7
732674.0417,3
732674.0833,9
732674.125,1
732674.1667,1
732674.2083,8
732674.25,0
732674.2917,3
732674.3333,7
732674.375,8
732674.4167,3
732674.4583,4
732674.5,6
732674.5417,5
732674.5833,2
732674.625,8
732674.6667,2
732674.7083,0
732674.75,0
732674.7917,3
732674.8333,9
732674.875,9
732674.9167,5
732674.9583,3
732675,5
732675.0417,8
732675.0833,0
732675.125,8
732675.1667,1
732675.2083,7
732675.25,8
732675.2917,2
732675.3333,6
732675.375,8
732675.4167,5
732675.4583,7
732675.5,3
732675.5417,4
732675.5833,9
732675.625,6
732675.6667,5
732675.7083,5
732675.75,7
732675.7917,5
732675.8333,2
732675.875,8
732675.9167,7
732675.9583,5
732676,0
732676.0417,2
732676.0833,3
732676.125,7
732676.1667,5
732676.2083,2
732676.25,2
732676.2917,8
732676.3333,5
732676.375,5
732676.4167,5
732676.4583,4
732676.5,4
732676.5417,5
732676.5833,8
732676.625,3
732676.6667,2
732676.7083,4
732676.75,8
732676.7917,7
732676.8333,8
732676.875,5
732676.9167,6
732676.9583,8
732677,7
732677.0417,5
732677.0833,1
732677.125,1
732677.1667,8
732677.2083,4
732677.25,5
732677.2917,5
732677.3333,8
732677.375,7
732677.4167,9
732677.4583,5
732677.5,8
732677.5417,3
732677.5833,3
732677.625,8
732677.6667,0
732677.7083,5
732677.75,7
732677.7917,4
732677.8333,5
732677.875,6
732677.9167,4
732677.9583,9
732678,9
732678.0417,8
732678.0833,9
732678.125,9
732678.1667,8
732678.2083,4
732678.25,5
732678.2917,8
732678.3333,6
732678.375,3
732678.4167,4
732678.4583,0
732678.5,7
732678.5417,1
732678.5833,5
732678.625,6
732678.6667,2
732678.7083,1
732678.75,3
732678.7917,1
732678.8333,5
732678.875,1
732678.9167,8
732678.9583,3
732679,2
732679.0417,7
732679.0833,7
732679.125,0
732679.1667,5
732679.2083,3
732679.25,5
732679.2917,7
732679.3333,3
732679.375,3
732679.4167,1
732679.4583,7
732679.5,7
732679.5417,8
732679.5833,7
732679.625,1
732679.6667,1
732679.7083,2
732679.75,2
732679.7917,7
732679.8333,3
732679.875,3
732679.9167,2
732679.9583,0
732680,2
732680.0417,1
732680.0833,6
732680.125,6
732680.1667,1
732680.2083,5
732680.25,3
732680.2917,1
732680.3333,2
732680.375,8
732680.4167,0
732680.4583,2
732680.5,2
732680.5417,5
732680.5833,3
732680.625,8
732680.6667,4
732680.7083,0
732680.75,2
732680.7917,6
732680.8333,4
732680.875,4
732680.9167,5
732680.9583,1
732681,8
732681.0417,6
732681.0833,5
732681.125,4
732681.1667,9
732681.2083,1
732681.25,7
732681.2917,9
732681.3333,6
732681.375,0
732681.4167,9
732681.4583,3
732681.5,7
732681.5417,5
732681.5833,6
732681.625,3
732681.6667,1
732681.7083,8
732681.75,3
732681.7917,4
732681.8333,0
732681.875,2
732681.9167,2
732681.9583,3
732682,5
732682.0417,6
732682.0833,8
732682.125,9
732682.1667,2
732682.2083,4
732682.25,2
732682.2917,7
732682.3333,4
732682.375,1
732682.4167,2
732682.4583,8
732682.5,7
732682.5417,0
732682.5833,9
732682.625,6
732682.6667,0
732682.7083,9
732682.75,6
732682.7917,4
732682.8333,1
732682.875,9
732682.9167,3
732682.9583,9
732683,2
732683.0417,7
732683.0833,5
732683.125,7
732683.1667,6
732683.2083,9
732683.25,7
732683.2917,2
732683.3333,1
732683.375,6
732683.4167,4
732683.4583,8
732683.5,7
732683.5417,9
732683.5833,8
732683.625,4
732683.6667,9
732683.7083,1
732683.75,1
732683.7917,2
732683.8333,4
732683.875,5
732683.9167,2
732683.9583,5
732684,2
732684.0417,6
732684.0833,6
732684.125,9
732684.1667,2
732684.2083,6
732684.25,4
732684.2917,1
732684.3333,0
732684.375,3
732684.4167,4
732684.4583,5
732684.5,8
732684.5417,1
732684.5833,8
732684.625,1
732684.6667,3
732684.7083,4
732684.75,9
732684.7917,4
732684.8333,7
732684.875,0
732684.9167,8
732684.9583,4
732685,4
732685.0417,7
732685.0833,8
732685.125,3
732685.1667,1
732685.2083,6
732685.25,6
732685.2917,2
732685.3333,1
732685.375,1
732685.4167,1
732685.4583,8
732685.5,4
732685.5417,1
732685.5833,8
732685.625,8
732685.6667,9
732685.7083,1
732685.75,2
732685.7917,8
732685.8333,4
732685.875,1
732685.9167,3
732685.9583,6
732686,7
732686.0417,4
732686.0833,4
732686.125,6
732686.1667,6
732686.2083,7
732686.25,0
732686.2917,1
732686.3333,4
732686.375,6
732686.4167,5
732686.4583,8
732686.5,9
732686.5417,2
732686.5833,2
732686.625,1
732686.6667,2
732686.7083,6
732686.75,9
732686.7917,2
732686.8333,7
732686.875,3
732686.9167,7
732686.9583,2
732687,2
732687.0417,1
732687.0833,3
732687.125,6
732687.1667,5
732687.2083,6
732687.25,3
732687.2917,2
732687.3333,1
732687.375,6
732687.4167,6
732687.4583,7
732687.5,7
732687.5417,7
732687.5833,6
732687.625,9
732687.6667,9
732687.7083,6
732687.75,3
732687.7917,5
732687.8333,7
732687.875,8
732687.9167,9
732687.9583,8
732688,8
732688.0417,5
732688.0833,7
732688.125,0
732688.1667,1
732688.2083,4
732688.25,9
732688.2917,2
732688.3333,6
732688.375,7
732688.4167,4
732688.4583,5
732688.5,4
732688.5417,4
732688.5833,0
732688.625,2
732688.6667,2
732688.7083,3
732688.75,6
732688.7917,2
732688.8333,2
732688.875,8
732688.9167,7
732688.9583,7
732689,9
732689.0417,2
732689.0833,3
732689.125,1
732689.1667,9
732689.2083,7
732689.25,0
732689.2917,2
732689.3333,4
732689.375,7
732689.4167,7
732689.4583,6
732689.5,0
732689.5417,0
732689.5833,1
732689.625,3
732689.6667,6
732689.7083,2
732689.75,3
732689.7917,7
732689.8333,5
732689.875,6
732689.9167,8
732689.9583,5
732690,4
732690.0417,5
732690.0833,4
732690.125,9
732690.1667,4
732690.2083,7
732690.25,4
732690.2917,7
732690.3333,0
732690.375,9
732690.4167,7
732690.4583,3
732690.5,6
732690.5417,1
732690.5833,0
732690.625,6
732690.6667,0
732690.7083,8
732690.75,7
732690.7917,6
732690.8333,6
732690.875,0
732690.9167,2
732690.9583,4
732691,0
732691.0417,3
732691.0833,5
732691.125,7
732691.1667,2
732691.2083,3
732691.25,8
732691.2917,8
732691.3333,5
732691.375,6
732691.4167,0
732691.4583,3
732691.5,3
732691.5417,3
732691.5833,0
732691.625,8
732691.6667,7
732691.7083,5
732691.75,1
732691.7917,6
732691.8333,6
732691.875,6
732691.9167,1
732691.9583,4
732692,5
732692.0417,5
732692.0833,1
732692.125,3
732692.1667,2
732692.2083,4
732692.25,2
732692.2917,1
732692.3333,8
732692.375,3
732692.4167,8
732692.4583,5
732692.5,4
732692.5417,1
732692.5833,7
732692.625,3
732692.6667,3
732692.7083,9
732692.75,4
732692.7917,7
732692.8333,7
732692.875,5
732692.9167,3
732692.9583,2
732693,1
732693.0417,1
732693.0833,7
732693.125,6
732693.1667,7
732693.2083,8
732693.25,8
732693.2917,0
732693.3333,1
732693.375,5
732693.4167,7
732693.4583,6
732693.5,2
732693.5417,1
732693.5833,1
732693.625,4
732693.6667,5
732693.7083,4
732693.75,4
732693.7917,3
732693.8333,0
732693.875,9
732693.9167,5
732693.9583,6
732694,1
732694.0417,6
732694.0833,3
732694.125,4
732694.1667,7
732694.2083,4
732694.25,9
732694.2917,3
732694.3333,7
732694.375,7
732694.4167,3
732694.4583,5
732694.5,5
732694.5417,0
732694.5833,0
732694.625,7
732694.6667,5
732694.7083,7
732694.75,7
732694.7917,2
732694.8333,4
732694.875,4
732694.9167,4
732694.9583,1
732695,6
732695.0417,4
732695.0833,5
732695.125,5
732695.1667,1
732695.2083,9
732695.25,3
732695.2917,3
732695.3333,2
732695.375,3
732695.4167,5
732695.4583,3
732695.5,8
732695.5417,3
732695.5833,4
732695.625,1
732695.6667,3
732695.7083,2
732695.75,8
732695.7917,7
732695.8333,4
732695.875,7
732695.9167,8
732695.9583,9
732696,6
732696.0417,7
732696.0833,4
732696.125,8
732696.1667,9
732696.2083,0
732696.25,5
732696.2917,8
732696.3333,3
732696.375,7
732696.4167,6
732696.4583,6
732696.5,7
732696.5417,8
732696.5833,7
732696.625,5
732696.6667,2
732696.7083,5
732696.75,5
732696.7917,0
732696.8333,6
732696.875,6
732696.9167,8
732696.9583,8
732697,2
732697.0417,3
732697.0833,7
732697.125,4
732697.1667,1
732697.2083,7
732697.25,8
732697.2917,0
732697.3333,4
732697.375,5
732697.4167,3
732697.4583,1
732697.5,5
732697.5417,3
732697.5833,8
732697.625,8
732697.6667,6
732697.7083,2
732697.75,4
732697.7917,6
732697.8333,4
732697.875,7
732697.9167,9
732697.9583,9
732698,7
732698.0417,0
732698.0833,5
732698.125,6
732698.1667,7
732698.2083,1
732698.25,9
732698.2917,1
732698.3333,3
732698.375,1
732698.4167,7
732698.4583,3
732698.5,2
732698.5417,6
732698.5833,0
732698.625,7
732698.6667,2
732698.7083,8
732698.75,8
732698.7917,9
732698.8333,6
732698.875,4
732698.9167,2
732698.9583,8
732699,9
732699.0417,5
732699.0833,5
732699.125,2
732699.1667,2
732699.2083,5
732699.25,8
732699.2917,9
732699.3333,2
732699.375,4
732699.4167,7
732699.4583,9
732699.5,3
732699.5417,7
732699.5833,8
732699.625,3
732699.6667,5
732699.7083,4
732699.75,6
732699.7917,3
732699.8333,2
732699.875,8
732699.9167,2
732699.9583,4
732700,0
732700.0417,3
732700.0833,0
732700.125,8
732700.1667,2
732700.2083,8
732700.25,7
732700.2917,4
732700.3333,9
732700.375,6
732700.4167,3
732700.4583,7
732700.5,1
732700.5417,8
732700.5833,1
732700.625,7
732700.6667,7
732700.7083,5
732700.75,6
732700.7917,4
732700.8333,6
732700.875,8
732700.9167,5
732700.9583,2
732701,4
732701.0417,0
732701.0833,4
732701.125,2
732701.1667,9
732701.2083,0
732701.25,2
732701.2917,6
732701.3333,3
732701.375,9
732701.4167,1
732701.4583,5
732701.5,4
732701.5417,8
732701.5833,8
732701.625,2
732701.6667,5
732701.7083,6
732701.75,8
732701.7917,5
732701.8333,5
732701.875,8
732701.9167,1
732701.9583,1
732702,6
732702.0417,4
732702.0833,4
732702.125,1
732702.1667,8
732702.2083,7
732702.25,1
732702.2917,6
732702.3333,6
732702.375,7
732702.4167,6
732702.4583,2
732702.5,2
732702.5417,3
732702.5833,1
732702.625,8
732702.6667,7
732702.7083,5
732702.75,5
732702.7917,4
732702.8333,0
732702.875,1
732702.9167,3
732702.9583,5
732703,5
732703.0417,0
732703.0833,0
732703.125,6
732703.1667,8
732703.2083,4
732703.25,8
732703.2917,1
732703.3333,5
732703.375,7
732703.4167,6
732703.4583,7
732703.5,7
732703.5417,2
732703.5833,7
732703.625,9
732703.6667,0
732703.7083,4
732703.75,8
732703.7917,2
732703.8333,5
732703.875,3
732703.9167,1
732703.9583,6
732704,7
732704.0417,2
732704.0833,3
732704.125,3
732704.1667,8
732704.2083,6
732704.25,2
732704.2917,3
732704.3333,3
732704.375,6
732704.4167,5
732704.4583,3
732704.5,7
732704.5417,2
732704.5833,3
732704.625,3
732704.6667,8
732704.7083,4
732704.75,5
732704.7917,2
732704.8333,5
732704.875,3
732704.9167,6
732704.9583,3
732705,5
732705.0417,6
732705.0833,9
732705.125,9
732705.1667,2
732705.2083,5
732705.25,5
732705.2917,6
732705.3333,8
732705.375,5
732705.4167,2
732705.4583,2
732705.5,3
732705.5417,5
732705.5833,7
732705.625,7
732705.6667,2
732705.7083,6
732705.75,1
732705.7917,7
732705.8333,2
732705.875,4
732705.9167,9
732705.9583,3
732706,5
732706.0417,5
732706.0833,4
732706.125,1
732706.1667,2
732706.2083,7
732706.25,6
732706.2917,2
732706.3333,5
732706.375,4
732706.4167,8
732706.4583,8
732706.5,7
732706.5417,7
732706.5833,5
732706.625,8
732706.6667,1
732706.7083,7
732706.75,3
732706.7917,3
732706.8333,4
732706.875,7
732706.9167,8
732706.9583,9
732707,3
732707.0417,8
732707.0833,5
732707.125,3
732707.1667,7
732707.2083,7
732707.25,8
732707.2917,5
732707.3333,1
732707.375,9
732707.4167,7
732707.4583,1
732707.5,9
732707.5417,4
732707.5833,3
732707.625,4
732707.6667,8
732707.7083,2
732707.75,7
732707.7917,8
732707.8333,2
732707.875,3
732707.9167,8
732707.9583,9
732708,5
732708.0417,0
732708.0833,3
732708.125,6
732708.1667,3
732708.2083,0
732708.25,4
732708.2917,6
732708.3333,2
732708.375,6
732708.4167,5
732708.4583,2
732708.5,3
732708.5417,0
732708.5833,2
732708.625,1
732708.6667,6
732708.7083,2
732708.75,9
732708.7917,7
732708.8333,4
732708.875,5
732708.9167,9
732708.9583,8
732709,4
732709.0417,4
732709.0833,8
732709.125,5
732709.1667,0
732709.2083,0
732709.25,5
732709.2917,0
732709.3333,4
732709.375,4
732709.4167,0
732709.4583,4
732709.5,6
732709.5417,7
732709.5833,8
732709.625,3
732709.6667,8
732709.7083,0
732709.75,4
732709.7917,8
732709.8333,8
732709.875,4
732709.9167,3
732709.9583,5
732710,9
732710.0417,9
732710.0833,3
732710.125,7
732710.1667,4
732710.2083,5
732710.25,0
732710.2917,9
732710.3333,6
732710.375,3
732710.4167,9
732710.4583,4
732710.5,6
732710.5417,8
732710.5833,3
732710.625,9
732710.6667,6
732710.7083,8
732710.75,6
732710.7917,5
732710.8333,8
732710.875,6
732710.9167,1
732710.9583,3
732711,0
732711.0417,1
732711.0833,2
732711.125,1
732711.1667,7
732711.2083,8
732711.25,3
732711.2917,6
732711.3333,3
732711.375,9
732711.4167,4
732711.4583,8
732711.5,6
732711.5417,7
732711.5833,7
732711.625,8
732711.6667,2
732711.7083,2
732711.75,2
732711.7917,4
732711.8333,2
732711.875,1
732711.9167,1
732711.9583,2
732712,3
732712.0417,4
732712.0833,5
732712.125,5
732712.1667,4
732712.2083,4
732712.25,8
732712.2917,1
732712.3333,3
732712.375,0
732712.4167,0
732712.4583,4
732712.5,3
732712.5417,6
732712.5833,8
732712.625,4
732712.6667,3
732712.7083,3
732712.75,4
732712.7917,8
732712.8333,2
732712.875,8
732712.9167,6
732712.9583,3
732713,1
732713.0417,5
732713.0833,6
732713.125,6
732713.1667,7
732713.2083,2
732713.25,5
732713.2917,3
732713.3333,2
732713.375,5
732713.4167,6
732713.4583,6
732713.5,9
732713.5417,0
732713.5833,8
732713.625,4
732713.6667,8
732713.7083,4
732713.75,4
732713.7917,8
732713.8333,5
732713.875,8
732713.9167,3
732713.9583,9
732714,2
732714.0417,4
732714.0833,5
732714.125,8
732714.1667,3
732714.2083,1
732714.25,4
732714.2917,9
732714.3333,2
732714.375,2
732714.4167,5
732714.4583,8
732714.5,8
732714.5417,1
732714.5833,2
732714.625,7
732714.6667,1
732714.7083,3
732714.75,1
732714.7917,9
732714.8333,7
732714.875,6
732714.9167,7
732714.9583,0
732715,7
732715.0417,7
732715.0833,8
732715.125,4
732715.1667,5
732715.2083,5
732715.25,5
732715.2917,3
732715.3333,4
732715.375,7
732715.4167,7
732715.4583,6
732715.5,7
732715.5417,4
732715.5833,4
732715.625,3
732715.6667,5
732715.7083,7
732715.75,1
732715.7917,8
732715.8333,9
732715.875,6
732715.9167,4
732715.9583,2
732716,4
732716.0417,0
732716.0833,9
732716.125,1
732716.1667,6
732716.2083,9
732716.25,4
732716.2917,4
732716.3333,1
732716.375,2
732716.4167,7
732716.4583,2
732716.5,2
732716.5417,3
732716.5833,5
732716.625,8
732716.6667,3
732716.7083,4
732716.75,6
732716.7917,3
732716.8333,8
732716.875,5
732716.9167,2
732716.9583,3
732717,5
732717.0417,4
732717.0833,5
732717.125,7
732717.1667,7
732717.2083,2
732717.25,7
732717.2917,3
732717.3333,2
732717.375,7
732717.4167,5
732717.4583,8
732717.5,8
732717.5417,0
732717.5833,1
732717.625,6
732717.6667,3
732717.7083,1
732717.75,8
732717.7917,1
732717.8333,3
732717.875,0
732717.9167,0
732717.9583,1
732718,1
732718.0417,6
732718.0833,0
732718.125,8
732718.1667,6
732718.2083,2
732718.25,6
732718.2917,9
732718.3333,4
732718.375,8
732718.4167,4
732718.4583,6
732718.5,3
732718.5417,4
732718.5833,9
732718.625,2
732718.6667,2
732718.7083,6
732718.75,5
732718.7917,6
732718.8333,5
732718.875,7
732718.9167,1
732718.9583,6
732719,8
732719.0417,9
732719.0833,8
732719.125,1
732719.1667,7
732719.2083,3
732719.25,3
732719.2917,6
732719.3333,2
732719.375,2
732719.4167,9
732719.4583,0
732719.5,7
732719.5417,6
732719.5833,5
732719.625,2
732719.6667,1
732719.7083,7
732719.75,2
732719.7917,6
732719.8333,7
732719.875,1
732719.9167,2
732719.9583,3
732720,9
732720.0417,6
732720.0833,3
732720.125,8
732720.1667,8
732720.2083,8
732720.25,7
732720.2917,6
732720.3333,8
732720.375,0
732720.4167,6
732720.4583,3
732720.5,2
732720.5417,8
732720.5833,3
732720.625,7
732720.6667,7
732720.7083,5
732720.75,1
732720.7917,8
732720.8333,9
732720.875,7
732720.9167,5
732720.9583,8
732721,6
732721.0417,1
732721.0833,3
732721.125,1
732721.1667,3
732721.2083,6
732721.25,7
732721.2917,2
732721.3333,6
732721.375,0
732721.4167,0
732721.4583,4
732721.5,3
732721.5417,3
732721.5833,4
732721.625,7
732721.6667,2
732721.7083,1
732721.75,4
732721.7917,5
732721.8333,6
732721.875,0
732721.9167,3
732721.9583,1
732722,5
732722.0417,2
732722.0833,8
732722.125,0
732722.1667,5
732722.2083,8
732722.25,7
732722.2917,1
732722.3333,3
732722.375,4
732722.4167,3
732722.4583,7
732722.5,8
732722.5417,5
732722.5833,1
732722.625,8
732722.6667,5
732722.7083,8
732722.75,0
732722.7917,6
732722.8333,0
732722.875,3
732722.9167,9
732722.9583,8
732723,4
732723.0417,7
732723.0833,6
732723.125,5
732723.1667,9
732723.2083,4
732723.25,5
732723.2917,5
732723.3333,1
732723.375,3
732723.4167,4
732723.4583,6
732723.5,0
732723.5417,3
732723.5833,2
732723.625,3
732723.6667,1
732723.7083,2
732723.75,3
732723.7917,0
732723.8333,8
732723.875,8
732723.9167,3
732723.9583,5
732724,7
732724.0417,3
732724.0833,5
732724.125,5
732724.1667,1
732724.2083,3
732724.25,1
732724.2917,7
732724.3333,0
732724.375,5
732724.4167,5
732724.4583,5
732724.5,7
732724.5417,6
732724.5833,8
732724.625,0
732724.6667,1
732724.7083,2
732724.75,2
732724.7917,7
732724.8333,4
732724.875,8
732724.9167,2
732724.9583,7
732725,4
732725.0417,5
732725.0833,6
732725.125,1
732725.1667,5
732725.2083,8
732725.25,0
732725.2917,7
732725.3333,6
732725.375,5
732725.4167,5
732725.4583,3
732725.5,2
732725.5417,4
732725.5833,6
732725.625,7
732725.6667,2
732725.7083,3
732725.75,3
732725.7917,3
732725.8333,2
732725.875,9
732725.9167,8
732725.9583,3
732726,4
732726.0417,2
732726.0833,6
732726.125,1
732726.1667,4
732726.2083,2
732726.25,4
732726.2917,8
732726.3333,2
732726.375,2
732726.4167,7
732726.4583,4
732726.5,4
732726.5417,4
732726.5833,3
732726.625,8
732726.6667,5
732726.7083,6
732726.75,9
732726.7917,1
732726.8333,6
732726.875,7
732726.9167,3
732726.9583,1
732727,3
732727.0417,6
732727.0833,3
732727.125,2
732727.1667,1
732727.2083,7
732727.25,2
732727.2917,7
732727.3333,9
732727.375,4
732727.4167,1
732727.4583,4
732727.5,3
732727.5417,4
732727.5833,6
732727.625,3
732727.6667,7
732727.7083,1
732727.75,6
732727.7917,8
732727.8333,5
732727.875,6
732727.9167,9
732727.9583,8
732728,7
732728.0417,5
732728.0833,1
732728.125,3
732728.1667,6
732728.2083,1
732728.25,3
732728.2917,1
732728.3333,1
732728.375,0
732728.4167,8
732728.4583,0
732728.5,5
732728.5417,8
732728.5833,8
732728.625,1
732728.6667,0
732728.7083,5
732728.75,8
732728.7917,3
732728.8333,3
732728.875,8
732728.9167,2
732728.9583,5
732729,0
732729.0417,4
732729.0833,2
732729.125,6
732729.1667,2
732729.2083,8
732729.25,8
732729.2917,4
732729.3333,2
732729.375,5
732729.4167,4
732729.4583,9
732729.5,1
732729.5417,5
732729.5833,2
732729.625,5
732729.6667,2
732729.7083,7
732729.75,0
732729.7917,1
732729.8333,5
732729.875,7
732729.9167,3
732729.9583,7
732730,6
732730.0417,2
732730.0833,3
732730.125,8
732730.1667,8
732730.2083,4
732730.25,6
732730.2917,1
732730.3333,8
732730.375,7
732730.4167,2
732730.4583,6
732730.5,6
732730.5417,2
732730.5833,1
732730.625,6
732730.6667,2
732730.7083,2
732730.75,7
732730.7917,5
732730.8333,8
732730.875,0
732730.9167,9
732730.9583,3
732731,9
732731.0417,2
732731.0833,8
732731.125,3
732731.1667,6
732731.2083,5
732731.25,3
732731.2917,1
732731.3333,1
732731.375,2
732731.4167,5
732731.4583,8
732731.5,1
732731.5417,0
732731.5833,1
732731.625,8
732731.6667,8
732731.7083,5
732731.75,0
732731.7917,5
732731.8333,8
732731.875,7
732731.9167,0
732731.9583,2
732732,4
732732.0417,6
732732.0833,7
732732.125,6
732732.1667,6
732732.2083,3
732732.25,4
732732.2917,2
732732.3333,6
732732.375,7
732732.4167,8
732732.4583,5
732732.5,1
732732.5417,3
732732.5833,0
732732.625,7
732732.6667,0
732732.7083,6
732732.75,6
732732.7917,3
732732.8333,0
732732.875,5
732732.9167,2
732732.9583,5
732733,8
732733.0417,7
732733.0833,1
732733.125,3
732733.1667,8
732733.2083,1
732733.25,4
732733.2917,5
732733.3333,0
732733.375,9
732733.4167,9
732733.4583,2
732733.5,1
732733.5417,8
732733.5833,3
732733.625,6
732733.6667,5
732733.7083,8
732733.75,1
732733.7917,7
732733.8333,8
732733.875,4
732733.9167,1
732733.9583,6
732734,2
732734.0417,7
732734.0833,0
732734.125,7
732734.1667,1
732734.2083,6
732734.25,3
732734.2917,1
732734.3333,7
732734.375,7
732734.4167,2
732734.4583,2
732734.5,6
732734.5417,3
732734.5833,1
732734.625,4
732734.6667,9
732734.7083,4
732734.75,4
732734.7917,1
732734.8333,3
732734.875,8
732734.9167,8
732734.9583,2
732735,3
732735.0417,1
732735.0833,8
732735.125,4
732735.1667,1
732735.2083,3
732735.25,1
732735.2917,2
732735.3333,3
732735.375,1
732735.4167,6
732735.4583,1
732735.5,7
732735.5417,5
732735.5833,3
732735.625,7
732735.6667,9
732735.7083,7
732735.75,9
732735.7917,3
732735.8333,3
732735.875,5
732735.9167,1
732735.9583,0
732736,4
732736.0417,9
732736.0833,8
732736.125,4
732736.1667,3
732736.2083,3
732736.25,9
732736.2917,6
732736.3333,5
732736.375,1
732736.4167,2
732736.4583,7
732736.5,1
732736.5417,3
732736.5833,1
732736.625,2
732736.6667,8
732736.7083,5
732736.75,5
732736.7917,8
732736.8333,6
732736.875,8
732736.9167,8
732736.9583,4
732737,5
732737.0417,8
732737.0833,9
732737.125,1
732737.1667,4
732737.2083,8
732737.25,6
732737.2917,3
732737.3333,3
732737.375,1
732737.4167,3
732737.4583,1
732737.5,8
732737.5417,6
732737.5833,6
732737.625,3
732737.6667,6
732737.7083,2
732737.75,0
732737.7917,4
732737.8333,5
732737.875,3
732737.9167,8
732737.9583,2
732738,7
732738.0417,2
732738.0833,4
732738.125,7
732738.1667,5
732738.2083,8
732738.25,7
732738.2917,9
732738.3333,3
732738.375,8
732738.4167,3
732738.4583,3
732738.5,4
732738.5417,0
732738.5833,7
732738.625,8
732738.6667,1
732738.7083,8
732738.75,6
732738.7917,5
732738.8333,5
732738.875,5
732738.9167,0
732738.9583,8
732739,8
732739.0417,8
732739.0833,8
732739.125,4
732739.1667,4
732739.2083,2
732739.25,5
732739.2917,2
732739.3333,8
732739.375,7
732739.4167,6
732739.4583,8
732739.5,2
732739.5417,2
732739.5833,3
732739.625,9
732739.6667,4
732739.7083,1
732739.75,1
732739.7917,8
732739.8333,8
732739.875,2
732739.9167,0
732739.9583,9
732740,3
732740.0417,6
732740.0833,5
732740.125,2
732740.1667,1
732740.2083,6
732740.25,6
732740.2917,0
732740.3333,7
732740.375,2
732740.4167,7
732740.4583,9
732740.5,0
732740.5417,1
732740.5833,3
732740.625,4
732740.6667,0
732740.7083,0
732740.75,6
732740.7917,1
732740.8333,8
732740.875,2
732740.9167,2
732740.9583,6
732741,1
732741.0417,7
732741.0833,5
732741.125,1
732741.1667,7
732741.2083,2
732741.25,1
732741.2917,1
732741.3333,3
732741.375,6
732741.4167,1
732741.4583,9
732741.5,3
732741.5417,3
732741.5833,1
732741.625,9
732741.6667,2
732741.7083,8
732741.75,2
732741.7917,8
732741.8333,4
732741.875,2
732741.9167,2
732741.9583,4
732742,1
732742.0417,3
